00	954.00, 270249.00
1900-01-01 00	96.00, 5281.00
2000-12-31 23	0.00, 2.00
2001-01-01 01	0.00, 2.00
2001-01-01 02	0.00, 4.00
2001-01-01 03	0.00, 4.00
2001-01-01 04	0.00, 4.00
2003-06-07 00	0.00, 1.00
2005-07-18 08	0.00, 1.00
2010-01-01 01	1.00, 0.00
2010-01-01 04	1.00, 0.00
2010-01-01 07	1.00, 0.00
2010-01-01 08	1.00, 0.00
2010-01-01 09	2.00, 0.00
2010-01-01 10	5.00, 0.00
2010-01-01 11	11.00, 0.00
2010-01-01 12	16.00, 2.00
2010-01-01 13	10.00, 0.00
2010-01-01 14	7.00, 1.00
2010-01-01 15	3.00, 0.00
2010-01-01 16	1.00, 0.00
2010-01-01 17	6.00, 1.00
2010-01-01 18	10.00, 0.00
2010-01-01 19	3.00, 0.00
2010-01-01 20	1.00, 1.00
2010-01-01 21	3.00, 1.00
2010-01-01 22	4.00, 0.00
2010-01-01 23	1.00, 0.00
2010-01-02 01	3.00, 0.00
2010-01-02 03	3.00, 0.00
2010-01-02 04	2.00, 0.00
2010-01-02 08	5.00, 0.00
2010-01-02 09	4.00, 0.00
2010-01-02 10	5.00, 0.00
2010-01-02 11	8.00, 0.00
2010-01-02 12	59.00, 8.00
2010-01-02 13	11.00, 0.00
2010-01-02 14	23.00, 2.00
2010-01-02 15	7.00, 0.00
2010-01-02 16	7.00, 0.00
2010-01-02 17	5.00, 0.00
2010-01-02 18	4.00, 0.00
2010-01-02 19	4.00, 0.00
2010-01-02 20	8.00, 0.00
2010-01-02 21	2.00, 0.00
2010-01-02 22	1.00, 0.00
2010-01-02 23	4.00, 0.00
2010-01-03 01	3.00, 0.00
2010-01-03 02	4.00, 0.00
2010-01-03 03	1.00, 0.00
2010-01-03 04	2.00, 0.00
2010-01-03 05	1.00, 0.00
2010-01-03 07	2.00, 0.00
2010-01-03 08	6.00, 0.00
2010-01-03 09	4.00, 0.00
2010-01-03 10	7.00, 0.00
2010-01-03 11	9.00, 0.00
2010-01-03 12	79.00, 1.00
2010-01-03 13	11.00, 0.00
2010-01-03 14	11.00, 0.00
2010-01-03 15	5.00, 0.00
2010-01-03 16	3.00, 0.00
2010-01-03 17	4.00, 0.00
2010-01-03 18	6.00, 1.00
2010-01-03 19	2.00, 0.00
2010-01-03 20	3.00, 0.00
2010-01-03 21	3.00, 0.00
2010-01-03 22	1.00, 0.00
2010-01-03 23	4.00, 0.00
2010-01-04 00	1.00, 0.00
2010-01-04 01	5.00, 0.00
2010-01-04 02	3.00, 0.00
2010-01-04 03	3.00, 0.00
2010-01-04 04	1.00, 0.00
2010-01-04 07	2.00, 0.00
2010-01-04 08	9.00, 0.00
2010-01-04 09	18.00, 0.00
2010-01-04 10	18.00, 0.00
2010-01-04 11	25.00, 0.00
2010-01-04 12	477.00, 28.00
2010-01-04 13	20.00, 7.00
2010-01-04 14	26.00, 2.00
2010-01-04 15	17.00, 4.00
2010-01-04 16	19.00, 4.00
2010-01-04 17	27.00, 1.00
2010-01-04 18	11.00, 2.00
2010-01-04 19	13.00, 1.00
2010-01-04 20	14.00, 4.00
2010-01-04 21	9.00, 1.00
2010-01-04 22	12.00, 0.00
2010-01-04 23	3.00, 0.00
2010-01-05 00	5.00, 0.00
2010-01-05 01	1.00, 0.00
2010-01-05 02	4.00, 0.00
2010-01-05 03	3.00, 0.00
2010-01-05 04	3.00, 0.00
2010-01-05 05	5.00, 0.00
2010-01-05 06	1.00, 0.00
2010-01-05 07	5.00, 0.00
2010-01-05 08	26.00, 0.00
2010-01-05 09	28.00, 0.00
2010-01-05 10	32.00, 0.00
2010-01-05 11	48.00, 0.00
2010-01-05 12	319.00, 17.00
2010-01-05 13	33.00, 1.00
2010-01-05 14	40.00, 4.00
2010-01-05 15	30.00, 0.00
2010-01-05 16	9.00, 2.00
2010-01-05 17	11.00, 4.00
2010-01-05 18	16.00, 1.00
2010-01-05 19	19.00, 2.00
2010-01-05 20	11.00, 1.00
2010-01-05 21	13.00, 2.00
2010-01-05 22	20.00, 0.00
2010-01-05 23	3.00, 0.00
2010-01-06 00	2.00, 0.00
2010-01-06 01	4.00, 0.00
2010-01-06 02	4.00, 0.00
2010-01-06 03	3.00, 0.00
2010-01-06 04	4.00, 0.00
2010-01-06 05	3.00, 0.00
2010-01-06 07	2.00, 0.00
2010-01-06 08	13.00, 0.00
2010-01-06 09	23.00, 0.00
2010-01-06 10	33.00, 0.00
2010-01-06 11	36.00, 0.00
2010-01-06 12	413.00, 23.00
2010-01-06 13	20.00, 1.00
2010-01-06 14	41.00, 5.00
2010-01-06 15	27.00, 3.00
2010-01-06 16	17.00, 3.00
2010-01-06 17	25.00, 1.00
2010-01-06 18	16.00, 0.00
2010-01-06 19	7.00, 1.00
2010-01-06 20	13.00, 0.00
2010-01-06 21	15.00, 2.00
2010-01-06 22	20.00, 0.00
2010-01-06 23	6.00, 0.00
2010-01-07 00	16.00, 0.00
2010-01-07 01	3.00, 0.00
2010-01-07 02	1.00, 0.00
2010-01-07 03	4.00, 0.00
2010-01-07 04	2.00, 0.00
2010-01-07 05	3.00, 0.00
2010-01-07 06	2.00, 0.00
2010-01-07 07	10.00, 0.00
2010-01-07 08	13.00, 0.00
2010-01-07 09	21.00, 0.00
2010-01-07 10	33.00, 0.00
2010-01-07 11	42.00, 0.00
2010-01-07 12	296.00, 34.00
2010-01-07 13	38.00, 3.00
2010-01-07 14	34.00, 4.00
2010-01-07 15	21.00, 3.00
2010-01-07 16	18.00, 4.00
2010-01-07 17	14.00, 4.00
2010-01-07 18	11.00, 1.00
2010-01-07 19	14.00, 0.00
2010-01-07 20	15.00, 1.00
2010-01-07 21	16.00, 3.00
2010-01-07 22	11.00, 1.00
2010-01-07 23	13.00, 0.00
2010-01-08 00	7.00, 0.00
2010-01-08 01	6.00, 0.00
2010-01-08 02	7.00, 0.00
2010-01-08 03	7.00, 0.00
2010-01-08 04	10.00, 0.00
2010-01-08 05	2.00, 0.00
2010-01-08 06	3.00, 0.00
2010-01-08 07	9.00, 0.00
2010-01-08 08	12.00, 0.00
2010-01-08 09	26.00, 0.00
2010-01-08 10	27.00, 0.00
2010-01-08 11	31.00, 0.00
2010-01-08 12	229.00, 30.00
2010-01-08 13	31.00, 5.00
2010-01-08 14	22.00, 1.00
2010-01-08 15	20.00, 3.00
2010-01-08 16	19.00, 2.00
2010-01-08 17	14.00, 1.00
2010-01-08 18	3.00, 1.00
2010-01-08 19	12.00, 1.00
2010-01-08 20	6.00, 0.00
2010-01-08 21	7.00, 0.00
2010-01-08 22	8.00, 0.00
2010-01-08 23	3.00, 0.00
2010-01-09 00	1.00, 0.00
2010-01-09 01	2.00, 0.00
2010-01-09 02	4.00, 0.00
2010-01-09 03	1.00, 0.00
2010-01-09 04	1.00, 0.00
2010-01-09 05	3.00, 0.00
2010-01-09 06	1.00, 0.00
2010-01-09 07	2.00, 0.00
2010-01-09 08	2.00, 0.00
2010-01-09 09	23.00, 0.00
2010-01-09 10	15.00, 0.00
2010-01-09 11	15.00, 0.00
2010-01-09 12	307.00, 8.00
2010-01-09 13	12.00, 3.00
2010-01-09 14	15.00, 1.00
2010-01-09 15	6.00, 3.00
2010-01-09 16	8.00, 2.00
2010-01-09 17	6.00, 0.00
2010-01-09 18	9.00, 0.00
2010-01-09 19	2.00, 0.00
2010-01-09 20	4.00, 0.00
2010-01-09 21	5.00, 0.00
2010-01-09 22	3.00, 2.00
2010-01-09 23	3.00, 0.00
2010-01-10 00	2.00, 0.00
2010-01-10 01	5.00, 0.00
2010-01-10 02	2.00, 0.00
2010-01-10 03	2.00, 0.00
2010-01-10 04	1.00, 0.00
2010-01-10 05	2.00, 0.00
2010-01-10 06	2.00, 0.00
2010-01-10 07	3.00, 0.00
2010-01-10 08	10.00, 0.00
2010-01-10 09	11.00, 0.00
2010-01-10 10	15.00, 0.00
2010-01-10 11	20.00, 0.00
2010-01-10 12	36.00, 5.00
2010-01-10 13	17.00, 0.00
2010-01-10 14	16.00, 0.00
2010-01-10 15	8.00, 0.00
2010-01-10 16	4.00, 2.00
2010-01-10 17	4.00, 0.00
2010-01-10 18	6.00, 0.00
2010-01-10 19	8.00, 0.00
2010-01-10 20	7.00, 1.00
2010-01-10 21	4.00, 1.00
2010-01-10 22	2.00, 2.00
2010-01-10 23	1.00, 0.00
2010-01-11 00	2.00, 0.00
2010-01-11 01	5.00, 0.00
2010-01-11 02	4.00, 0.00
2010-01-11 03	4.00, 0.00
2010-01-11 04	5.00, 0.00
2010-01-11 05	6.00, 0.00
2010-01-11 06	3.00, 0.00
