2014-01-01 00	2.96, 12.45, 1.22, 30887.00
2014-01-01 01	3.16, 13.14, 1.35, 33648.00
2014-01-01 02	3.34, 13.46, 1.39, 30745.00
2014-01-01 03	3.47, 13.53, 1.34, 26242.00
2014-01-01 04	3.69, 14.07, 1.28, 18792.00
2014-01-01 05	4.10, 14.99, 1.29, 11009.00
2014-01-01 06	4.36, 15.46, 1.28, 7995.00
2014-01-01 07	4.35, 15.32, 1.22, 6926.00
2014-01-01 08	4.11, 14.69, 1.26, 6230.00
2014-01-01 09	3.61, 13.14, 1.12, 7960.00
2014-01-01 10	3.36, 12.42, 1.08, 11281.00
2014-01-01 11	3.12, 11.91, 1.03, 15397.00
2014-01-01 12	3.07, 11.83, 1.06, 18698.00
2014-01-01 13	3.16, 12.18, 1.08, 20219.00
2014-01-01 14	3.26, 12.59, 1.14, 21111.00
2014-01-01 15	3.34, 12.73, 1.18, 20550.00
2014-01-01 16	3.23, 12.53, 1.17, 18069.00
2014-01-01 17	3.10, 12.22, 1.13, 19612.00
2014-01-01 18	3.06, 12.05, 1.17, 20184.00
2014-01-01 19	3.01, 11.84, 1.20, 19137.00
2014-01-01 20	2.98, 11.50, 1.19, 15964.00
2014-01-01 21	2.98, 11.46, 1.17, 15015.00
2014-01-01 22	3.31, 12.24, 1.27, 14314.00
2014-01-01 23	3.76, 13.40, 1.36, 10814.00
2014-01-02 00	3.94, 13.96, 1.37, 7863.00
2014-01-02 01	3.60, 13.22, 1.24, 4871.00
2014-01-02 02	3.95, 14.18, 1.25, 3210.00
2014-01-02 03	4.10, 14.49, 1.21, 2203.00
2014-01-02 04	5.45, 18.40, 1.72, 2371.00
2014-01-02 05	5.46, 18.49, 1.93, 3748.00
2014-01-02 06	3.77, 13.66, 1.46, 8962.00
2014-01-02 07	2.96, 11.58, 1.25, 15045.00
2014-01-02 08	2.71, 11.35, 1.29, 19892.00
2014-01-02 09	2.70, 11.42, 1.21, 20271.00
2014-01-02 10	2.76, 11.61, 1.11, 18601.00
2014-01-02 11	2.69, 11.45, 1.02, 19578.00
2014-01-02 12	2.67, 11.50, 1.04, 21101.00
2014-01-02 13	2.71, 11.66, 1.02, 21637.00
2014-01-02 14	2.84, 11.98, 1.08, 22153.00
2014-01-02 15	2.85, 11.89, 1.04, 21220.00
2014-01-02 16	2.79, 11.58, 1.12, 18545.00
2014-01-02 17	2.64, 11.06, 1.13, 22310.00
2014-01-02 18	2.51, 10.58, 1.18, 25954.00
2014-01-02 19	2.43, 10.42, 1.17, 24906.00
2014-01-02 20	2.48, 11.00, 1.26, 18258.00
2014-01-02 21	2.53, 11.20, 1.24, 14881.00
2014-01-02 22	2.66, 11.65, 1.27, 12641.00
2014-01-02 23	2.74, 11.70, 1.21, 9726.00
2014-01-03 00	2.95, 12.26, 1.27, 7077.00
2014-01-03 01	3.33, 13.19, 1.34, 4553.00
2014-01-03 02	3.51, 13.71, 1.34, 3036.00
2014-01-03 03	3.42, 13.49, 1.24, 1912.00
2014-01-03 04	3.94, 15.02, 1.22, 1288.00
2014-01-03 05	4.02, 15.59, 1.54, 1183.00
2014-01-03 06	3.78, 14.39, 1.51, 2009.00
2014-01-03 07	2.95, 12.09, 1.35, 3714.00
2014-01-03 08	2.66, 11.47, 1.33, 5845.00
2014-01-03 09	2.57, 11.16, 1.21, 7953.00
2014-01-03 10	2.58, 11.21, 1.06, 9631.00
2014-01-03 11	2.86, 12.09, 1.06, 10681.00
2014-01-03 12	3.36, 13.46, 1.18, 11540.00
2014-01-03 13	3.10, 12.74, 1.03, 11453.00
2014-01-03 14	3.13, 12.77, 1.15, 14586.00
2014-01-03 15	2.95, 12.28, 1.11, 15879.00
2014-01-03 16	2.92, 12.33, 1.21, 15173.00
2014-01-03 17	2.70, 11.59, 1.22, 18541.00
2014-01-03 18	2.50, 11.12, 1.24, 23243.00
2014-01-03 19	2.43, 10.97, 1.22, 24333.00
2014-01-03 20	2.65, 11.25, 1.25, 20784.00
2014-01-03 21	2.72, 11.32, 1.26, 19660.00
2014-01-03 22	2.80, 11.61, 1.24, 21469.00
2014-01-03 23	3.03, 12.04, 1.34, 19920.00
2014-01-04 00	3.13, 12.19, 1.40, 18322.00
2014-01-04 01	3.28, 12.58, 1.45, 14908.00
2014-01-04 02	3.18, 12.30, 1.44, 11233.00
2014-01-04 03	3.53, 13.28, 1.46, 8035.00
2014-01-04 04	4.24, 15.44, 1.45, 5709.00
2014-01-04 05	5.08, 17.50, 1.62, 3104.00
2014-01-04 06	4.51, 15.84, 1.55, 3874.00
2014-01-04 07	3.63, 13.46, 1.29, 5425.00
2014-01-04 08	3.29, 12.51, 1.26, 8463.00
2014-01-04 09	2.77, 11.27, 1.10, 13160.00
2014-01-04 10	2.63, 11.13, 1.08, 16773.00
2014-01-04 11	2.56, 11.19, 1.10, 19804.00
2014-01-04 12	2.52, 11.25, 1.11, 22028.00
2014-01-04 13	2.51, 11.52, 1.12, 22516.00
2014-01-04 14	2.63, 11.68, 1.12, 21555.00
2014-01-04 15	2.62, 11.60, 1.12, 22902.00
2014-01-04 16	2.68, 11.57, 1.15, 20259.00
2014-01-04 17	2.67, 11.58, 1.16, 22273.00
2014-01-04 18	2.55, 11.32, 1.17, 26890.00
2014-01-04 19	2.39, 10.89, 1.15, 28525.00
2014-01-04 20	2.47, 10.92, 1.23, 24763.00
2014-01-04 21	2.58, 11.24, 1.25, 23292.00
2014-01-04 22	2.67, 11.43, 1.27, 25827.00
2014-01-04 23	2.80, 11.60, 1.34, 27846.00
2014-01-05 00	2.93, 11.82, 1.39, 26052.00
2014-01-05 01	3.07, 12.06, 1.48, 22375.00
2014-01-05 02	3.25, 12.51, 1.50, 18742.00
2014-01-05 03	3.48, 13.15, 1.50, 14040.00
2014-01-05 04	3.91, 14.38, 1.36, 9023.00
2014-01-05 05	5.07, 17.56, 1.72, 4231.00
2014-01-05 06	5.23, 17.97, 1.81, 4025.00
2014-01-05 07	4.61, 16.02, 1.65, 4937.00
2014-01-05 08	3.60, 13.32, 1.43, 7676.00
2014-01-05 09	2.74, 10.99, 1.13, 12309.00
2014-01-05 10	2.39, 10.15, 1.01, 18364.00
2014-01-05 11	2.51, 10.76, 1.12, 22138.00
2014-01-05 12	2.54, 11.10, 1.16, 24705.00
2014-01-05 13	2.66, 11.65, 1.24, 22622.00
2014-01-05 14	2.90, 12.34, 1.29, 22144.00
2014-01-05 15	3.00, 12.43, 1.34, 20948.00
2014-01-05 16	3.05, 12.38, 1.35, 19588.00
2014-01-05 17	2.96, 12.01, 1.30, 20311.00
2014-01-05 18	2.96, 11.98, 1.32, 21158.00
2014-01-05 19	3.05, 12.03, 1.39, 18524.00
2014-01-05 20	2.97, 11.70, 1.36, 17189.00
2014-01-05 21	3.27, 12.37, 1.42, 14690.00
2014-01-05 22	3.55, 13.22, 1.55, 12815.00
2014-01-05 23	3.45, 12.90, 1.38, 9924.00
2014-01-06 00	4.11, 14.64, 1.53, 7616.00
2014-01-06 01	4.77, 16.50, 1.76, 5014.00
2014-01-06 02	5.40, 18.29, 1.95, 3716.00
2014-01-06 03	6.14, 20.85, 2.04, 2531.00
2014-01-06 04	5.72, 19.70, 1.95, 2782.00
2014-01-06 05	4.93, 16.93, 2.04, 4522.00
2014-01-06 06	3.22, 12.10, 1.42, 11297.00
2014-01-06 07	2.75, 11.55, 1.36, 20742.00
2014-01-06 08	2.50, 11.76, 1.46, 25428.00
2014-01-06 09	2.50, 11.85, 1.41, 23213.00
2014-01-06 10	2.80, 12.46, 1.40, 19519.00
2014-01-06 11	2.81, 12.36, 1.32, 18027.00
2014-01-06 12	2.62, 11.86, 1.25, 19835.00
2014-01-06 13	2.77, 12.14, 1.27, 19475.00
2014-01-06 14	2.87, 12.30, 1.27, 19920.00
2014-01-06 15	2.92, 12.49, 1.31, 20114.00
2014-01-06 16	2.83, 12.08, 1.37, 18038.00
2014-01-06 17	2.70, 11.77, 1.36, 22208.00
2014-01-06 18	2.56, 11.23, 1.39, 27273.00
2014-01-06 19	2.59, 10.97, 1.41, 26509.00
2014-01-06 20	2.81, 11.33, 1.49, 23544.00
2014-01-06 21	3.03, 11.89, 1.57, 21056.00
2014-01-06 22	3.21, 12.35, 1.59, 19277.00
