month,year,average_temp
1,2011,-1.11
month,year,average_temp
2,2011,1.71
month,year,average_temp
3,2011,5.36
month,year,average_temp
4,2011,10.88
month,year,average_temp
5,2011,16.62
month,year,average_temp
6,2011,21.78
month,year,average_temp
7,2011,26.08
month,year,average_temp
8,2011,23.84
month,year,average_temp
9,2011,20.61
month,year,average_temp
10,2011,14.39
month,year,average_temp
11,2011,10.48
month,year,average_temp
12,2011,6.61
month,year,average_temp
1,2012,3.21
month,year,average_temp
2,2012,4.67
month,year,average_temp
3,2012,9.09
month,year,average_temp
4,2012,12.14
month,year,average_temp
5,2012,17.17
month,year,average_temp
6,2012,21.25
month,year,average_temp
7,2012,25.35
month,year,average_temp
8,2012,24.67
month,year,average_temp
9,2012,20.82
month,year,average_temp
10,2012,15.38
month,year,average_temp
11,2012,6.52
month,year,average_temp
12,2012,5.81
month,year,average_temp
1,2013,2.26
month,year,average_temp
2,2013,1.36
month,year,average_temp
3,2013,4.09
month,year,average_temp
4,2013,10.13
month,year,average_temp
5,2013,15.17
month,year,average_temp
6,2013,20.81
month,year,average_temp
7,2013,25.65
month,year,average_temp
8,2013,23.17
month,year,average_temp
9,2013,19.67
month,year,average_temp
10,2013,15.56
month,year,average_temp
11,2013,7.77
month,year,average_temp
12,2013,3.72
month,year,average_temp
1,2014,-1.01
month,year,average_temp
2,2014,-0.18
month,year,average_temp
3,2014,3.13
month,year,average_temp
4,2014,9.65
month,year,average_temp
5,2014,16.57
month,year,average_temp
6,2014,21.6
month,year,average_temp
7,2014,23.79
month,year,average_temp
8,2014,23.21
month,year,average_temp
9,2014,20.83
month,year,average_temp
10,2014,15.71
month,year,average_temp
11,2014,7.55
month,year,average_temp
12,2014,5.47
month,year,average_temp
1,2015,-0.31
month,year,average_temp
2,2015,-3.68
month,year,average_temp
3,2015,3.16
month,year,average_temp
4,2015,10.96
month,year,average_temp
5,2015,17.37
month,year,average_temp
6,2015,21.05
month,year,average_temp
7,2015,25.39
month,year,average_temp
8,2015,25.6
month,year,average_temp
9,2015,22.6
month,year,average_temp
10,2015,14.4
month,year,average_temp
11,2015,11.86
month,year,average_temp
12,2015,10.46
month,year,average_temp
1,2016,1.88
month,year,average_temp
2,2016,3.29
month,year,average_temp
3,2016,8.19
month,year,average_temp
4,2016,10.31
month,year,average_temp
5,2016,15.14
month,year,average_temp
6,2016,21.96
month,year,average_temp
7,2016,25.38
month,year,average_temp
8,2016,25.86
month,year,average_temp
9,2016,21.62
month,year,average_temp
10,2016,15.01
month,year,average_temp
11,2016,10.38
month,year,average_temp
12,2016,4.6
