0	0.00, 24.00
2016-01-01 00	2031.47, 297.00
2016-01-01 01	2043.70, 372.00
2016-01-01 02	677.93, 287.00
2016-01-01 03	1414.23, 223.00
2016-01-01 04	1133.85, 94.00
2016-01-01 05	463.35, 48.00
2016-01-01 06	791.38, 76.00
2016-01-01 07	761.19, 97.00
2016-01-01 08	1174.17, 178.00
2016-01-01 09	1030.36, 302.00
2016-01-01 10	990.29, 455.00
2016-01-01 11	1516.46, 741.00
2016-01-01 12	1155.03, 874.00
2016-01-01 13	1849.18, 1032.00
2016-01-01 14	1170.33, 967.00
2016-01-01 15	1416.84, 998.00
2016-01-01 16	1116.62, 978.00
2016-01-01 17	1066.60, 710.00
2016-01-01 18	824.41, 620.00
2016-01-01 19	727.62, 493.00
2016-01-01 20	721.48, 390.00
2016-01-01 21	727.16, 273.00
2016-01-01 22	656.63, 276.00
2016-01-01 23	1231.36, 228.00
2016-01-02 00	605.10, 157.00
2016-01-02 01	598.85, 102.00
2016-01-02 02	665.22, 51.00
2016-01-02 03	634.64, 28.00
2016-01-02 04	572.05, 41.00
2016-01-02 05	590.03, 33.00
2016-01-02 06	711.83, 71.00
2016-01-02 07	658.97, 155.00
2016-01-02 08	673.14, 343.00
2016-01-02 09	800.33, 667.00
2016-01-02 10	940.42, 904.00
2016-01-02 11	1041.40, 1114.00
2016-01-02 12	1471.53, 1294.00
2016-01-02 13	994.23, 1373.00
2016-01-02 14	1331.37, 1460.00
2016-01-02 15	1216.23, 1408.00
2016-01-02 16	1217.55, 1309.00
2016-01-02 17	978.89, 985.00
2016-01-02 18	707.93, 867.00
2016-01-02 19	797.50, 671.00
2016-01-02 20	848.83, 511.00
2016-01-02 21	765.68, 390.00
2016-01-02 22	653.32, 353.00
2016-01-02 23	698.94, 300.00
2016-01-03 00	939.98, 202.00
2016-01-03 01	1083.73, 144.00
2016-01-03 02	1863.15, 87.00
2016-01-03 03	530.96, 70.00
2016-01-03 04	729.33, 45.00
2016-01-03 05	876.43, 42.00
2016-01-03 06	1175.47, 58.00
2016-01-03 07	610.29, 157.00
2016-01-03 08	706.73, 319.00
2016-01-03 09	766.45, 613.00
2016-01-03 10	973.72, 958.00
2016-01-03 11	887.08, 1306.00
2016-01-03 12	932.35, 1485.00
2016-01-03 13	998.83, 1472.00
2016-01-03 14	1157.94, 1490.00
2016-01-03 15	987.26, 1378.00
2016-01-03 16	993.54, 1485.00
2016-01-03 17	1183.42, 1104.00
2016-01-03 18	925.86, 918.00
2016-01-03 19	618.31, 733.00
2016-01-03 20	636.72, 539.00
2016-01-03 21	680.33, 403.00
2016-01-03 22	923.93, 313.00
2016-01-03 23	801.42, 178.00
2016-01-04 00	632.03, 92.00
2016-01-04 01	655.39, 54.00
2016-01-04 02	537.24, 21.00
2016-01-04 03	590.92, 25.00
2016-01-04 04	473.38, 52.00
2016-01-04 05	571.56, 199.00
2016-01-04 06	659.28, 756.00
2016-01-04 07	893.11, 1443.00
2016-01-04 08	703.58, 2592.00
2016-01-04 09	665.36, 1663.00
2016-01-04 10	700.25, 721.00
2016-01-04 11	769.26, 681.00
2016-01-04 12	886.70, 777.00
2016-01-04 13	1077.67, 779.00
2016-01-04 14	806.63, 866.00
2016-01-04 15	842.91, 950.00
2016-01-04 16	643.78, 1163.00
2016-01-04 17	934.85, 2187.00
2016-01-04 18	821.83, 2009.00
2016-01-04 19	660.49, 1194.00
2016-01-04 20	535.60, 642.00
2016-01-04 21	877.84, 376.00
2016-01-04 22	506.26, 217.00
2016-01-04 23	513.01, 134.00
2016-01-05 00	457.11, 71.00
2016-01-05 01	1528.37, 27.00
2016-01-05 02	792.60, 10.00
2016-01-05 03	574.33, 6.00
2016-01-05 04	599.30, 20.00
2016-01-05 05	582.80, 164.00
2016-01-05 06	587.07, 530.00
2016-01-05 07	578.31, 1089.00
2016-01-05 08	759.21, 1935.00
2016-01-05 09	709.10, 1413.00
2016-01-05 10	719.26, 636.00
2016-01-05 11	606.34, 538.00
2016-01-05 12	664.27, 609.00
2016-01-05 13	621.56, 673.00
2016-01-05 14	648.33, 758.00
2016-01-05 15	686.01, 868.00
2016-01-05 16	796.56, 1173.00
2016-01-05 17	660.85, 2145.00
2016-01-05 18	713.84, 2120.00
2016-01-05 19	643.34, 1311.00
2016-01-05 20	676.89, 860.00
2016-01-05 21	599.49, 509.00
2016-01-05 22	558.41, 402.00
2016-01-05 23	1068.28, 186.00
2016-01-06 00	498.11, 100.00
2016-01-06 01	1075.35, 68.00
2016-01-06 02	535.00, 29.00
2016-01-06 03	607.70, 27.00
2016-01-06 04	530.67, 46.00
2016-01-06 05	509.45, 204.00
2016-01-06 06	607.23, 738.00
2016-01-06 07	658.50, 1435.00
2016-01-06 08	746.79, 2755.00
2016-01-06 09	802.11, 1891.00
2016-01-06 10	719.75, 901.00
2016-01-06 11	800.65, 838.00
2016-01-06 12	714.73, 990.00
2016-01-06 13	814.95, 1080.00
2016-01-06 14	727.26, 1201.00
2016-01-06 15	1028.67, 1255.00
2016-01-06 16	735.35, 1601.00
2016-01-06 17	743.75, 2702.00
2016-01-06 18	874.61, 2594.00
2016-01-06 19	687.90, 1726.00
2016-01-06 20	2639.30, 980.00
2016-01-06 21	637.37, 705.00
2016-01-06 22	623.36, 448.00
2016-01-06 23	970.44, 255.00
2016-01-07 00	492.19, 125.00
2016-01-07 01	529.62, 69.00
2016-01-07 02	530.97, 30.00
2016-01-07 03	609.10, 20.00
2016-01-07 04	483.49, 37.00
2016-01-07 05	637.29, 199.00
2016-01-07 06	555.77, 853.00
2016-01-07 07	890.06, 1730.00
2016-01-07 08	769.24, 3114.00
2016-01-07 09	701.95, 2150.00
2016-01-07 10	733.89, 1033.00
2016-01-07 11	897.11, 943.00
2016-01-07 12	785.79, 1152.00
2016-01-07 13	791.44, 1176.00
2016-01-07 14	767.97, 1250.00
2016-01-07 15	947.74, 1391.00
2016-01-07 16	781.20, 1713.00
2016-01-07 17	763.35, 2994.00
2016-01-07 18	790.97, 2909.00
2016-01-07 19	803.28, 1922.00
2016-01-07 20	728.77, 1230.00
