2015-01-01 00	2.91, 12.60, 1.35, 28312.00
2015-01-01 01	3.13, 13.30, 1.48, 31707.00
2015-01-01 02	3.27, 13.47, 1.56, 28068.00
2015-01-01 03	3.46, 13.58, 1.48, 24288.00
2015-01-01 04	3.68, 14.03, 1.39, 17080.00
2015-01-01 05	4.14, 15.00, 1.36, 9112.00
2015-01-01 06	4.33, 15.43, 1.35, 6637.00
2015-01-01 07	4.39, 15.34, 1.42, 6011.00
2015-01-01 08	4.08, 14.46, 1.38, 5585.00
2015-01-01 09	3.75, 13.40, 1.20, 6977.00
2015-01-01 10	3.40, 12.48, 1.15, 9949.00
2015-01-01 11	3.00, 11.52, 1.09, 13870.00
2015-01-01 12	3.02, 11.70, 1.12, 16581.00
2015-01-01 13	3.07, 11.91, 1.13, 17447.00
2015-01-01 14	3.23, 12.54, 1.17, 17993.00
2015-01-01 15	3.31, 12.78, 1.22, 18279.00
2015-01-01 16	3.15, 12.36, 1.16, 16602.00
2015-01-01 17	2.99, 12.05, 1.14, 17511.00
2015-01-01 18	2.78, 11.50, 1.11, 18082.00
2015-01-01 19	2.74, 11.26, 1.13, 16484.00
2015-01-01 20	3.12, 12.04, 1.29, 15017.00
2015-01-01 21	3.02, 11.73, 1.26, 14801.00
2015-01-01 22	3.12, 11.82, 1.31, 14005.00
2015-01-01 23	3.38, 12.45, 1.37, 11610.00
2015-01-02 00	3.48, 12.59, 1.38, 9388.00
2015-01-02 01	3.17, 11.84, 1.21, 6291.00
2015-01-02 02	3.31, 12.17, 1.16, 4027.00
2015-01-02 03	3.81, 13.72, 1.29, 2905.00
2015-01-02 04	4.87, 16.81, 1.49, 2626.00
2015-01-02 05	5.40, 18.15, 1.89, 2755.00
2015-01-02 06	4.13, 14.45, 1.53, 5811.00
2015-01-02 07	3.46, 12.62, 1.43, 8256.00
2015-01-02 08	2.96, 11.56, 1.35, 10946.00
2015-01-02 09	3.00, 11.80, 1.23, 13372.00
2015-01-02 10	2.90, 11.79, 1.11, 15243.00
2015-01-02 11	2.68, 11.44, 1.06, 16998.00
2015-01-02 12	2.72, 11.58, 1.10, 19251.00
2015-01-02 13	2.73, 11.71, 1.10, 19021.00
2015-01-02 14	3.00, 12.59, 1.18, 20260.00
2015-01-02 15	3.06, 12.85, 1.23, 20428.00
2015-01-02 16	2.95, 12.56, 1.28, 18223.00
2015-01-02 17	2.76, 12.16, 1.29, 20680.00
2015-01-02 18	2.63, 11.66, 1.28, 23007.00
2015-01-02 19	2.52, 11.45, 1.29, 23227.00
2015-01-02 20	2.83, 11.84, 1.35, 20153.00
2015-01-02 21	2.90, 11.81, 1.35, 19610.00
2015-01-02 22	2.84, 11.64, 1.34, 21722.00
2015-01-02 23	3.08, 12.16, 1.44, 21088.00
2015-01-03 00	3.03, 11.92, 1.42, 19467.00
2015-01-03 01	2.99, 11.72, 1.44, 16660.00
2015-01-03 02	3.06, 11.92, 1.44, 13607.00
2015-01-03 03	3.38, 12.79, 1.46, 10620.00
2015-01-03 04	3.98, 14.40, 1.42, 7061.00
2015-01-03 05	5.63, 19.02, 1.93, 3512.00
2015-01-03 06	5.29, 18.02, 1.83, 4120.00
2015-01-03 07	4.26, 14.86, 1.52, 5216.00
2015-01-03 08	3.50, 12.87, 1.39, 7908.00
2015-01-03 09	2.91, 11.21, 1.15, 11869.00
2015-01-03 10	2.81, 11.11, 1.13, 14975.00
2015-01-03 11	2.69, 11.04, 1.12, 17966.00
2015-01-03 12	2.50, 10.86, 1.11, 21644.00
2015-01-03 13	2.44, 11.07, 1.09, 23717.00
2015-01-03 14	2.62, 11.36, 1.17, 24143.00
2015-01-03 15	2.66, 11.35, 1.17, 23494.00
2015-01-03 16	2.72, 11.55, 1.23, 20350.00
2015-01-03 17	2.59, 11.22, 1.20, 22294.00
2015-01-03 18	2.51, 11.05, 1.23, 25304.00
2015-01-03 19	2.37, 10.95, 1.19, 25665.00
2015-01-03 20	2.67, 11.14, 1.33, 20531.00
2015-01-03 21	2.66, 11.01, 1.30, 21399.00
2015-01-03 22	2.89, 11.65, 1.41, 22408.00
2015-01-03 23	3.00, 11.90, 1.49, 22832.00
2015-01-04 00	3.08, 12.00, 1.50, 20632.00
2015-01-04 01	3.18, 12.17, 1.53, 17493.00
2015-01-04 02	3.15, 12.08, 1.49, 13485.00
2015-01-04 03	3.38, 12.65, 1.48, 9841.00
2015-01-04 04	3.99, 14.53, 1.47, 6384.00
2015-01-04 05	5.34, 18.53, 1.86, 3364.00
2015-01-04 06	5.94, 19.56, 2.13, 3625.00
2015-01-04 07	4.65, 16.01, 1.81, 4734.00
2015-01-04 08	3.66, 13.39, 1.49, 7070.00
2015-01-04 09	3.22, 12.03, 1.35, 10153.00
2015-01-04 10	3.06, 11.69, 1.32, 14304.00
2015-01-04 11	2.86, 11.37, 1.27, 16325.00
2015-01-04 12	2.75, 11.21, 1.26, 18099.00
2015-01-04 13	2.87, 11.69, 1.35, 18639.00
2015-01-04 14	3.12, 12.65, 1.44, 18722.00
2015-01-04 15	3.32, 13.07, 1.54, 18233.00
2015-01-04 16	3.35, 13.12, 1.57, 18056.00
2015-01-04 17	3.19, 12.66, 1.51, 18257.00
2015-01-04 18	3.14, 12.51, 1.51, 18498.00
2015-01-04 19	2.97, 11.88, 1.40, 18491.00
2015-01-04 20	3.08, 12.05, 1.50, 17529.00
2015-01-04 21	3.62, 13.27, 1.70, 14061.00
2015-01-04 22	4.10, 14.44, 1.86, 12639.00
2015-01-04 23	4.62, 15.88, 1.94, 10203.00
2015-01-05 00	5.27, 17.52, 2.15, 7652.00
2015-01-05 01	5.15, 17.35, 2.03, 4685.00
2015-01-05 02	4.46, 15.81, 1.58, 3076.00
2015-01-05 03	4.03, 14.60, 1.28, 2071.00
2015-01-05 04	5.09, 17.36, 1.88, 2310.00
2015-01-05 05	4.74, 15.94, 2.13, 4218.00
2015-01-05 06	3.53, 12.88, 1.66, 11095.00
2015-01-05 07	2.92, 11.99, 1.52, 18866.00
2015-01-05 08	2.60, 11.78, 1.53, 22131.00
2015-01-05 09	2.62, 11.67, 1.52, 19602.00
2015-01-05 10	2.80, 11.85, 1.42, 16289.00
2015-01-05 11	2.71, 11.65, 1.32, 16427.00
2015-01-05 12	2.67, 11.50, 1.25, 17022.00
2015-01-05 13	2.80, 11.89, 1.28, 17127.00
2015-01-05 14	2.89, 12.14, 1.34, 18916.00
2015-01-05 15	2.94, 12.32, 1.35, 19897.00
2015-01-05 16	2.88, 12.08, 1.43, 17717.00
2015-01-05 17	2.77, 11.81, 1.46, 21727.00
2015-01-05 18	2.54, 11.03, 1.46, 26143.00
2015-01-05 19	2.63, 10.91, 1.51, 25655.00
2015-01-05 20	2.92, 11.44, 1.56, 22028.00
2015-01-05 21	3.21, 12.26, 1.68, 19814.00
2015-01-05 22	3.44, 12.82, 1.77, 16256.00
2015-01-05 23	3.77, 13.66, 1.83, 12724.00
2015-01-06 00	4.16, 14.82, 1.84, 8457.00
2015-01-06 01	4.05, 14.40, 1.60, 4968.00
2015-01-06 02	3.72, 13.86, 1.37, 3107.00
2015-01-06 03	3.78, 13.88, 1.40, 1976.00
2015-01-06 04	4.58, 15.74, 1.52, 2159.00
2015-01-06 05	4.21, 14.58, 1.80, 4083.00
2015-01-06 06	3.11, 11.72, 1.44, 11366.00
2015-01-06 07	2.55, 10.95, 1.39, 20044.00
2015-01-06 08	2.25, 11.25, 1.49, 24491.00
2015-01-06 09	2.26, 12.20, 1.61, 21342.00
2015-01-06 10	2.37, 12.45, 1.51, 17697.00
2015-01-06 11	2.27, 12.07, 1.39, 17191.00
2015-01-06 12	2.28, 11.59, 1.36, 17987.00
2015-01-06 13	2.48, 11.67, 1.35, 17464.00
2015-01-06 14	2.62, 11.92, 1.39, 19314.00
2015-01-06 15	2.66, 11.89, 1.39, 19603.00
2015-01-06 16	2.73, 11.94, 1.48, 17538.00
2015-01-06 17	2.49, 11.06, 1.42, 21171.00
2015-01-06 18	2.39, 10.72, 1.46, 26845.00
2015-01-06 19	2.54, 10.70, 1.52, 26025.00
2015-01-06 20	2.86, 11.42, 1.62, 24401.00
2015-01-06 21	3.04, 11.82, 1.72, 23308.00
2015-01-06 22	3.24, 12.43, 1.76, 19331.00
2015-01-06 23	3.49, 13.04, 1.73, 14452.00
2015-01-07 00	3.92, 14.17, 1.75, 9189.00
2015-01-07 01	3.98, 14.30, 1.65, 5580.00
2015-01-07 02	3.54, 13.05, 1.36, 3331.00
2015-01-07 03	3.55, 13.09, 1.30, 2282.00
2015-01-07 04	4.40, 15.50, 1.62, 2296.00
2015-01-07 05	3.80, 13.54, 1.71, 3900.00
2015-01-07 06	2.89, 11.11, 1.36, 11458.00
2015-01-07 07	2.58, 11.09, 1.43, 20907.00
2015-01-07 08	2.22, 10.95, 1.48, 25759.00
2015-01-07 09	2.22, 11.24, 1.52, 23237.00
2015-01-07 10	2.35, 11.35, 1.42, 19680.00
2015-01-07 11	2.30, 11.19, 1.35, 19492.00
2015-01-07 12	2.33, 11.28, 1.36, 20325.00
2015-01-07 13	2.45, 11.54, 1.39, 20469.00
2015-01-07 14	2.55, 11.84, 1.37, 21766.00
2015-01-07 15	2.51, 11.58, 1.38, 21438.00
2015-01-07 16	2.53, 11.31, 1.42, 19066.00
2015-01-07 17	2.36, 11.03, 1.43, 23559.00
2015-01-07 18	2.26, 10.68, 1.47, 29597.00
2015-01-07 19	2.39, 10.60, 1.51, 30511.00
2015-01-07 20	2.64, 10.97, 1.59, 27882.00
2015-01-07 21	2.93, 11.70, 1.73, 27161.00
2015-01-07 22	3.06, 12.08, 1.72, 24117.00
2015-01-07 23	3.52, 13.12, 1.78, 16639.00
2015-01-08 00	3.80, 13.80, 1.80, 10430.00
2015-01-08 01	3.56, 13.19, 1.56, 6034.00
2015-01-08 02	3.39, 12.64, 1.35, 3606.00
2015-01-08 03	3.61, 13.14, 1.36, 2444.00
2015-01-08 04	4.24, 14.97, 1.64, 2266.00
2015-01-08 05	3.76, 13.43, 1.73, 4016.00
2015-01-08 06	2.86, 11.13, 1.43, 12079.00
2015-01-08 07	2.47, 10.72, 1.41, 22534.00
2015-01-08 08	2.20, 10.83, 1.47, 27142.00
2015-01-08 09	2.16, 11.05, 1.48, 24631.00
2015-01-08 10	2.32, 11.50, 1.47, 21183.00
2015-01-08 11	2.26, 11.45, 1.39, 20198.00
2015-01-08 12	2.36, 11.52, 1.41, 20955.00
2015-01-08 13	2.51, 11.73, 1.44, 20408.00
2015-01-08 14	2.64, 12.16, 1.46, 22304.00
2015-01-08 15	2.64, 12.14, 1.50, 22869.00
2015-01-08 16	2.73, 12.04, 1.57, 19145.00
2015-01-08 17	2.46, 11.41, 1.53, 23737.00
2015-01-08 18	2.33, 11.18, 1.55, 29732.00
2015-01-08 19	2.41, 10.94, 1.56, 30515.00
2015-01-08 20	2.70, 11.41, 1.68, 28952.00
2015-01-08 21	2.99, 12.00, 1.75, 28159.00
2015-01-08 22	3.12, 12.32, 1.79, 26724.00
2015-01-08 23	3.25, 12.66, 1.77, 20853.00
2015-01-09 00	3.53, 13.20, 1.80, 13948.00
2015-01-09 01	3.45, 13.15, 1.61, 8392.00
2015-01-09 02	3.37, 12.66, 1.47, 5515.00
2015-01-09 03	3.54, 13.13, 1.38, 3713.00
2015-01-09 04	4.23, 14.98, 1.63, 3028.00
2015-01-09 05	4.33, 14.92, 2.02, 4201.00
2015-01-09 06	3.07, 11.92, 1.54, 11302.00
2015-01-09 07	2.52, 12.63, 1.65, 18010.00
2015-01-09 08	2.27, 13.03, 1.74, 18894.00
2015-01-09 09	2.22, 11.99, 1.58, 20194.00
2015-01-09 10	2.28, 11.52, 1.45, 19100.00
2015-01-09 11	2.39, 11.44, 1.39, 18731.00
2015-01-09 12	2.44, 11.57, 1.43, 19817.00
2015-01-09 13	2.60, 11.72, 1.42, 19810.00
